,title,tconst
183,The Invasion,tt0427392
184,Evolution,tt0251075
185,The Watch,tt1298649
186,The Darkest Hour,tt1093357
187,Monsters vs. Aliens,tt0892782
188,Monsters,tt1470827
189,Battle Los Angeles,tt1217613
190,The Arrival,tt0115571
191,The Host,tt1517260
192,Penguins of Madagascar,tt1911658
193,The X Files,tt0120902
194,The Andromeda Strain,tt0066769
195,Killer Klowns from Outer Space,tt0095444
196,K-PAX,tt0272152
197,The Lego Movie 2: The Second Part,tt3513498
198,Rim of the World,tt8179388
199,Attack the Block,tt1478964
200,Skyline,tt1564585
201,Battle Beyond the Stars,tt0080421
202,Jimmy Neutron: Boy Genius,tt0268397
203,Beyond Skyline,tt1724970
204,Horror Express,tt0068713
205,Evangelion: 1.0 You Are (Not) Alone,tt0923811
206,Superman II: The Richard Donner Cut,tt0839995
207,Muppets from Space,tt0158811
208,Aliens in the Attic,tt0775552
209,Landscape with Invisible Hand,tt7645334
210,Without Warning,tt0081764
211,Hangar 18,tt0080836
212,Earth to Echo,tt2183034
213,Invaders from Mars,tt0091276
214,Buck Rogers in the 25th Century,tt0077278
215,Encounter,tt12800524
216,Occupation,tt6774786
217,The Deadly Spawn,tt0087998
218,Laserblast,tt0077834
219,Purple People Eater,tt0095930
220,Strange Invaders,tt0086374
221,Godzilla 2000,tt0188640
222,Godzilla vs. Mechagodzilla,tt0071565
223,Voyage of the Rock Aliens,tt0096402
224,2001: A Space Travesty,tt0157262
225,Spaced Invaders,tt0100666
226,The Alien Factor,tt0075656
227,The Recall,tt5669936
228,Seedpeople,tt0105347
229,Angry Video Game Nerd: The Movie,tt2123146
230,Alien Invasion: S.U.M.1,tt4279116
231,Terror of Mechagodzilla,tt0073373
232,Kids vs. Aliens,tt21862626
233,51,tt1629439
234,Godzilla vs. Gigan,tt0068371
235,Starship Invasions,tt0076760
236,Zone Troopers,tt0092298
237,The Day Time Ended,tt0080596
238,Nukie,tt0107715
239,Alien Trespass,tt1122836
240,Time Walker,tt0084796
241,Mystery Science Theater 3000: The Movie,tt0117128
242,Returner,tt0339579
243,Space Amoeba,tt0065776
244,Blasted,tt14866710
245,Time Runner,tt0108342
246,End of the World,tt0075990
247,The Replacements,tt0191397
248,Jerry Maguire,tt0116695
249,The Longest Yard,tt0398165
250,Remember the Titans,tt0210945
251,The Waterboy,tt0120484
252,The Blind Side,tt0878804
