from_tconst,from_title,from_year,from_runtimeMinutes,from_averageRating,from_numVotes,from_budget,from_revenue
tt0071577,The Great Gatsby,1974.0,144,6.4,27484,6500000,26533200
tt0071598,Harry and Tonto,1974.0,115,7.3,6467,980000,4600000
tt0071675,It's Alive,1974.0,91,5.8,9347,500000,7100000
tt0071771,The Longest Yard,1974.0,121,7.1,22245,2900000,43008075
tt0071807,The Man with the Golden Gun,1974.0,125,6.7,116513,7000000,97600000
tt0071853,Monty Python and the Holy Grail,1975.0,91,8.2,584675,400000,5028948
tt0071877,Murder on the Orient Express,1974.0,128,7.2,71644,1400000,35700000
tt0072081,The Return of the Pink Panther,1975.0,113,7.0,30891,5000000,41833347
tt0072226,The Sugarland Express,1974.0,110,6.7,20421,3000000,12800000
tt0072271,The Texas Chain Saw Massacre,1974.0,83,7.4,196455,140000,30900000
tt0072288,Thunderbolt and Lightfoot,1974.0,115,7.0,30310,4000000,25000000
tt0072308,The Towering Inferno,1974.0,165,7.0,50079,14000000,116000000
tt0072431,Young Frankenstein,1974.0,106,8.0,174699,2800000,86273333
tt0072608,The Adventure of Sherlock Holmes' Smarter Brother,1975.0,91,6.0,7553,2800000,20000000
tt0072665,At Long Last Love,1975.0,118,5.3,1458,6000000,1500000
tt0072730,A Boy and His Dog,1975.0,91,6.4,20034,400000,6900000
tt0072761,Capone,1975.0,101,5.7,3342,970000,2000000
tt0072856,Death Race 2000,1975.0,80,6.2,32273,300000,8000000
tt0072890,Dog Day Afternoon,1975.0,125,8.0,280655,1800000,46665856
tt0072895,Dolemite,1975.0,90,5.6,7066,120000,12000000
tt0072973,"Farewell, My Lovely",1975.0,95,7.0,10182,2500000,2000000
tt0073096,Hearts of the West,1975.0,102,6.5,1832,2000000,1600000
tt0073195,Jaws,1975.0,124,8.1,689396,7000000,470653000
tt0073240,The Killer Elite,1975.0,122,6.0,7661,5000000,1000000
tt0073282,Let's Do It Again,1975.0,110,6.7,3465,70000,11800000
