title,year,subgenres
Rebel Moon - Part One: A Child of Fire,2023.0,"['action-epic', 'epic-adventure', 'epic-drama', 'epic-fantasy', 'epic-sci-fi', 'space-sci-fi']"
Dunkirk,2017.0,"['action-epic', 'epic-drama', 'epic-history', 'epic-war', 'period-drama']"
Godzilla x Kong: The New Empire,2024.0,"['action-epic', 'dinosaur-adventure', 'disaster-action', 'giant-monster-sci-fi', 'globetrotting-adventure', 'supernatural-fantasy']"
The Creator,2023.0,"['action-epic', 'artificial-intelligence-sci-fi', 'cyberpunk-sci-fi', 'dystopian-sci-fi', 'epic-adventure', 'epic-sci-fi']"
Monkey Man,2024.0,"['action-epic', 'martial-arts-action', 'one-person-army-action']"
Star Wars: Episode V - The Empire Strikes Back,1980.0,"['action-epic', 'dark-fantasy', 'epic-adventure', 'epic-drama', 'epic-fantasy', 'epic-sci-fi', 'globetrotting-adventure', 'quest-adventure', 'space-sci-fi', 'sword-and-sorcery-fantasy']"
Napoleon,2023.0,"['action-epic', 'costume-drama', 'docudrama', 'epic-drama', 'epic-history', 'epic-war', 'period-drama']"
Star Wars: Episode VII - The Force Awakens,2015.0,"['action-epic', 'epic-adventure', 'epic-sci-fi', 'globetrotting-adventure', 'quest-adventure', 'space-sci-fi']"
The Last Duel,2021.0,"['action-epic', 'costume-drama', 'epic-drama', 'epic-history']"
Shang-Chi and the Legend of the Ten Rings,2021.0,"['action-epic', 'epic-adventure', 'epic-fantasy', 'kung-fu-action', 'martial-arts-action', 'superhero-action']"
Star Wars: Episode VIII - The Last Jedi,2017.0,"['action-epic', 'epic-adventure', 'epic-fantasy', 'epic-sci-fi', 'space-sci-fi']"
Zack Snyder's Justice League,2021.0,"['action-epic', 'superhero-action']"
Mission: Impossible - Fallout,2018.0,"['action-epic', 'globetrotting-adventure', 'spy-thriller']"
Batman,1989.0,"['action-epic', 'superhero-action', 'tragedy-drama', 'urban-adventure']"
Godzilla Minus One,2023.0,"['action-epic', 'dinosaur-adventure', 'epic-adventure', 'epic-drama', 'epic-sci-fi', 'giant-monster-sci-fi', 'monster-horror', 'period-drama', 'supernatural-horror', 'tragedy-drama']"
The Last Samurai,2003.0,"['action-epic', 'period-drama', 'samurai-action', 'sword-and-sandal-action', 'tragedy-drama']"
King Arthur: Legend of the Sword,2017.0,"['action-epic', 'epic-adventure', 'quest-adventure']"
Aquaman and the Lost Kingdom,2023.0,"['action-epic', 'superhero-action']"
Star Wars: Episode VI - Return of the Jedi,1983.0,"['action-epic', 'dark-fantasy', 'epic-adventure', 'epic-drama', 'epic-fantasy', 'epic-sci-fi', 'globetrotting-adventure', 'quest-adventure', 'space-sci-fi', 'sword-and-sorcery-fantasy']"
War of the Worlds,2005.0,"['action-epic', 'alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'alien-invasion-sci-fi', 'body-horror', 'disaster-action', 'disaster-action', 'epic-adventure', 'epic-sci-fi', 'giant-monster-sci-fi', 'monster-horror', 'urban-adventure']"
Star Wars: Episode II - Attack of the Clones,2002.0,"['action-epic', 'epic-adventure', 'epic-fantasy', 'epic-sci-fi', 'space-sci-fi']"
Fast & Furious,2009.0,"['action-epic', 'car-action']"
