title,year,subgenres
Air America,1990.0,"['buddy-comedy', 'dark-comedy']"
Clerks II,2006.0,['buddy-comedy']
Quiz Lady,2023.0,['buddy-comedy']
Holmes & Watson,2018.0,"['buddy-comedy', 'bumbling-detective-mystery', 'parody-comedy', 'slapstick-comedy', 'true-crime', 'whodunnit-mystery']"
My Name Is Nobody,1973.0,['buddy-comedy']
Spies in Disguise,2019.0,"['buddy-comedy', 'cg-animation', 'superhero-action']"
Dumb and Dumberer: When Harry Met Lloyd,2003.0,"['buddy-comedy', 'slapstick-comedy']"
Beverly Hills Ninja,1997.0,"['buddy-comedy', 'farce-comedy', 'martial-arts-action', 'parody-comedy', 'slapstick-comedy']"
Black Sheep,1996.0,"['buddy-comedy', 'dark-comedy', 'slapstick-comedy']"
Jay and Silent Bob Reboot,2019.0,['buddy-comedy']
Fire Island,2022.0,"['buddy-comedy', 'feel-good-romance', 'romantic-comedy']"
My Spy,2020.0,['buddy-comedy']
Bio-Dome,1996.0,"['buddy-comedy', 'slapstick-comedy']"
Home on the Range,2004.0,"['buddy-comedy', 'quest-adventure']"
Bandidas,2006.0,"['buddy-comedy', 'caper-crime', 'dark-comedy']"
Officer Black Belt,2024.0,"['buddy-comedy', 'buddy-cop-comedy', 'martial-arts-action']"
The Mighty,1998.0,"['buddy-comedy', 'coming-of-age-drama', 'quest-adventure']"
The Cowboy Way,1994.0,"['buddy-comedy', 'contemporary-western', 'dark-comedy']"
Kangaroo Jack,2003.0,"['buddy-comedy', 'gangster-crime']"
The Last Detail,1973.0,"['buddy-comedy', 'road-trip-adventure']"
The Banger Sisters,2002.0,"['buddy-comedy', 'screwball-comedy']"
Dick,1999.0,"['buddy-comedy', 'dark-comedy', 'satire-comedy', 'teen-comedy']"
The Dilemma,2011.0,"['buddy-comedy', 'dark-comedy']"
The Kid,1921.0,"['buddy-comedy', 'slapstick-comedy']"
The Rugrats Movie,1998.0,"['buddy-comedy', 'pop-musical', 'quest-adventure', 'survival-adventure', 'urban-adventure']"
Skiptrace,2016.0,"['buddy-comedy', 'buddy-cop-comedy', 'slapstick-comedy']"
New York Minute,2004.0,"['buddy-comedy', 'teen-comedy', 'urban-adventure']"
Shanghai Knights,2003.0,"['buddy-comedy', 'martial-arts-action']"
Bad Trip,2021.0,"['buddy-comedy', 'dark-comedy', 'road-trip-adventure']"
Beavis and Butt-Head Do America,1996.0,"['buddy-comedy', 'dark-comedy', 'parody-comedy', 'road-trip-adventure']"
Formula 51,2001.0,"['buddy-comedy', 'caper-crime', 'dark-comedy']"
Old Dogs,2009.0,"['buddy-comedy', 'slapstick-comedy']"
Money Talks,1997.0,['buddy-comedy']
Smoke Signals,1998.0,"['buddy-comedy', 'coming-of-age-drama', 'quirky-comedy', 'road-trip-adventure']"
Stuck on You,2003.0,['buddy-comedy']
Thunder Force,2021.0,"['buddy-comedy', 'superhero-action']"
The Valet,2022.0,"['buddy-comedy', 'feel-good-romance', 'high-concept-comedy']"
Mississippi Grind,2015.0,['buddy-comedy']
The Week Of,2018.0,['buddy-comedy']
Silver Streak,1976.0,['buddy-comedy']
Brannigan,1975.0,"['buddy-comedy', 'dark-comedy']"
Darlings,2022.0,"['buddy-comedy', 'dark-comedy']"
Men at Work,1990.0,"['buddy-comedy', 'slapstick-comedy']"
Animal Crackers,2017.0,"['buddy-comedy', 'cg-animation', 'slapstick-comedy']"
Wheels on Meals,1984.0,"['buddy-comedy', 'martial-arts-action']"
Gone Fishin',1997.0,"['buddy-comedy', 'slapstick-comedy']"
Marry My Dead Body,2022.0,['buddy-comedy']
Without a Clue,1988.0,"['buddy-comedy', 'parody-comedy', 'whodunnit-mystery']"
Class Act,1992.0,"['buddy-comedy', 'slapstick-comedy']"
Analyze That,2002.0,['buddy-comedy']
A Life Less Ordinary,1997.0,"['buddy-comedy', 'dark-comedy', 'satire-comedy']"
"Big Mommas: Like Father, Like Son",2011.0,['buddy-comedy']
Free Birds,2013.0,"['buddy-comedy', 'cg-animation', 'time-travel-sci-fi']"
Robot & Frank,2012.0,"['buddy-comedy', 'caper-crime']"
Firewalker,1986.0,"['buddy-comedy', 'jungle-adventure']"
Eating Raoul,1982.0,"['buddy-comedy', 'dark-comedy', 'farce-comedy', 'quirky-comedy']"
Mac & Devin Go to High School,2012.0,"['buddy-comedy', 'stoner-comedy']"
Clockwatchers,1997.0,"['buddy-comedy', 'dark-comedy', 'workplace-drama']"
Envy,2004.0,"['buddy-comedy', 'dark-comedy']"
On the Count of Three,2021.0,"['buddy-comedy', 'dark-comedy']"
The In-Laws,1979.0,"['buddy-comedy', 'caper-crime', 'farce-comedy', 'screwball-comedy', 'spy-thriller']"
Father of the Year,2018.0,['buddy-comedy']
Missing Link,2019.0,['buddy-comedy']
Agent Cody Banks 2: Destination London,2004.0,"['buddy-comedy', 'parody-comedy']"
Ratchet & Clank,2016.0,"['buddy-comedy', 'cg-animation']"
All About the Benjamins,2002.0,"['buddy-comedy', 'caper-crime', 'dark-comedy']"
"Planes, Trains & Automobiles",,"['buddy-comedy', 'farce-comedy', 'holiday-comedy', 'holiday-season', 'road-trip-adventure']"
The Fortune Cookie,1966.0,"['buddy-comedy', 'satire-comedy']"
Fathers' Day,1997.0,"['buddy-comedy', 'road-trip-adventure']"
Here Today,2021.0,['buddy-comedy']
All Through the Night,1942.0,"['buddy-comedy', 'conspiracy-thriller', 'film-noir', 'political-drama', 'spy-thriller']"
Nice Girls,2024.0,['buddy-comedy']
The Wash,2001.0,['buddy-comedy']
My Annoying Brother,2024.0,['buddy-comedy']
The In-Laws,2003.0,"['buddy-comedy', 'spy-thriller']"
The Wackness,2008.0,"['buddy-comedy', 'coming-of-age-drama', 'stoner-comedy', 'teen-comedy', 'teen-drama', 'teen-romance']"
Wise Guys,1986.0,"['buddy-comedy', 'dark-comedy']"
The Odd Couple II,1998.0,"['buddy-comedy', 'road-trip-adventure']"
The Pebble and the Penguin,1995.0,"['buddy-comedy', 'quest-adventure']"
I Used to Be Famous,2022.0,['buddy-comedy']
Tom and Jerry: The Movie,1992.0,"['buddy-comedy', 'slapstick-comedy']"
The First Time,1969.0,"['buddy-comedy', 'coming-of-age-drama', 'teen-comedy', 'teen-drama']"
My Annoying Brother,2016.0,['buddy-comedy']
Special Correspondents,2016.0,['buddy-comedy']
The World of Henry Orient,1964.0,"['buddy-comedy', 'coming-of-age-drama', 'quirky-comedy', 'teen-comedy', 'teen-drama']"
Sons of the Desert,1933.0,"['buddy-comedy', 'farce-comedy', 'slapstick-comedy']"
The Liability,2012.0,"['buddy-comedy', 'coming-of-age-drama', 'gangster-crime']"
Outrageous Fortune,1987.0,['buddy-comedy']
Crime Busters,1977.0,['buddy-comedy']
Husbands,1970.0,"['buddy-comedy', 'dark-comedy']"
Real Men,1987.0,['buddy-comedy']
My Giant,1998.0,['buddy-comedy']
The Matador,2005.0,"['buddy-comedy', 'dark-comedy', 'parody-comedy']"
"Jeff, Who Lives at Home",2011.0,"['buddy-comedy', 'quirky-comedy', 'satire-comedy']"
The Festival,2018.0,"['buddy-comedy', 'slapstick-comedy']"
Freebie and the Bean,1974.0,"['buddy-comedy', 'buddy-cop-comedy', 'dark-comedy', 'satire-comedy']"
The Man,2005.0,['buddy-comedy']
The Promotion,2008.0,"['buddy-comedy', 'satire-comedy']"
Heart Condition,1990.0,['buddy-comedy']
Troublemakers,1994.0,['buddy-comedy']
Klown,2010.0,['buddy-comedy']
"Boeing, Boeing",1965.0,['buddy-comedy']
College Road Trip,2008.0,"['buddy-comedy', 'road-trip-adventure', 'satire-comedy', 'slapstick-comedy']"
All Nighter,2017.0,['buddy-comedy']
Search Party,2014.0,['buddy-comedy']
The Magic Flute,1975.0,"['buddy-comedy', 'supernatural-fantasy']"
I Got the Hook Up,1998.0,['buddy-comedy']
The Rounders,1965.0,"['buddy-comedy', 'slapstick-comedy']"
The Boss' Wife,1986.0,['buddy-comedy']
Learning to Drive,2014.0,['buddy-comedy']
The Janky Promoters,2009.0,['buddy-comedy']
$,1971.0,"['buddy-comedy', 'caper-crime', 'quirky-comedy', 'screwball-comedy']"
Miami Supercops,1985.0,['buddy-comedy']
Mother,1996.0,"['buddy-comedy', 'satire-comedy']"
The Last Laugh,2019.0,['buddy-comedy']
Pat and Mike,1952.0,['buddy-comedy']
Barbarosa,1982.0,"['buddy-comedy', 'dark-comedy']"
Snoopy Come Home,1972.0,['buddy-comedy']
It's a Great Feeling,1949.0,"['buddy-comedy', 'farce-comedy']"
Dream a Little Dream 2,1995.0,"['buddy-comedy', 'teen-comedy']"
Chill Factor,1999.0,"['buddy-comedy', 'dark-comedy']"
Get Smart's Bruce and Lloyd Out of Control,2008.0,['buddy-comedy']
All Is Bright,2013.0,"['buddy-comedy', 'dark-comedy']"
Pookoo,,"['buddy-comedy', 'cg-animation']"
History Is Made at Night,1937.0,"['buddy-comedy', 'dark-romance']"
Tapeheads,1988.0,['buddy-comedy']
Who Was That Lady?,1960.0,"['buddy-comedy', 'farce-comedy']"
Hollow Point,1996.0,"['buddy-comedy', 'dark-comedy']"
Into the Sun,1991.0,"['buddy-comedy', 'dark-comedy']"
Your Friend the Rat,2007.0,"['buddy-comedy', 'cg-animation']"
Love on Delivery,1994.0,"['buddy-comedy', 'parody-comedy', 'quirky-comedy', 'slapstick-comedy']"
O.C. and Stiggs,1985.0,"['buddy-comedy', 'satire-comedy', 'teen-comedy']"
The Road to Hong Kong,1962.0,['buddy-comedy']
Turn the Other Cheek,1974.0,['buddy-comedy']
Soldier in the Rain,1963.0,['buddy-comedy']
"Look Out, Officer!",1990.0,"['buddy-comedy', 'high-concept-comedy', 'quirky-comedy', 'slapstick-comedy', 'supernatural-fantasy']"
Safe Men,1998.0,['buddy-comedy']
Glitch,2015.0,['buddy-comedy']
The Art of Love,1965.0,['buddy-comedy']
Gunmen,1993.0,"['buddy-comedy', 'dark-comedy']"
Road to Rio,1947.0,['buddy-comedy']
Klown Forever,2015.0,['buddy-comedy']
Salt and Pepper,1968.0,['buddy-comedy']
Hit the Deck,1955.0,"['buddy-comedy', 'feel-good-romance', 'pop-musical']"
Homer and Eddie,1989.0,['buddy-comedy']
Road to Zanzibar,1941.0,"['buddy-comedy', 'jungle-adventure']"
South Sea Woman,1953.0,"['buddy-comedy', 'farce-comedy', 'legal-drama', 'sea-adventure']"
Dick Figures: The Movie,2013.0,['buddy-comedy']
Pardners,1956.0,['buddy-comedy']
"Not with My Wife, You Don't!",1966.0,"['buddy-comedy', 'slapstick-comedy']"
The Long Dumb Road,2018.0,['buddy-comedy']
Fubar: Balls to the Wall,2010.0,"['buddy-comedy', 'satire-comedy', 'slapstick-comedy']"
Pickleball,,"['buddy-comedy', 'quirky-comedy']"
Two Guys from Milwaukee,1946.0,['buddy-comedy']
The Greeks Had a Word for Them,1932.0,"['buddy-comedy', 'screwball-comedy']"
Yankee Zulu,1993.0,"['buddy-comedy', 'slapstick-comedy']"
Puerto Ricans in Paris,2015.0,['buddy-comedy']
Mad About Men,1954.0,['buddy-comedy']
Careless,2007.0,"['buddy-comedy', 'quirky-comedy']"
My Man Adam,1985.0,['buddy-comedy']
Bounty Hunters,1996.0,['buddy-comedy']
The Housekeeper's Daughter,1939.0,"['buddy-comedy', 'film-noir', 'screwball-comedy']"
Tomorrow at Seven,1933.0,"['buddy-comedy', 'bumbling-detective-mystery', 'psychological-thriller', 'suspense-mystery', 'whodunnit-mystery']"
Bad Boa's,,['buddy-comedy']
Two Guys from Texas,1948.0,['buddy-comedy']
Mr. Robinson Crusoe,1932.0,"['buddy-comedy', 'sea-adventure', 'survival-adventure', 'swashbuckler-adventure']"
Missing Pieces,1991.0,"['buddy-comedy', 'bumbling-detective-mystery', 'slapstick-comedy']"
Mrs. O'Malley and Mr. Malone,1950.0,"['buddy-comedy', 'whodunnit-mystery']"
Three Sailors and a Girl,1953.0,"['buddy-comedy', 'pop-musical']"
Drop Dead Roses,2001.0,['buddy-comedy']
Paris Holiday,1958.0,['buddy-comedy']
So Glad You Came: A Musical,,"['buddy-comedy', 'classic-musical']"
One Sunday Afternoon,1933.0,"['buddy-comedy', 'period-drama', 'romantic-comedy']"
Demon Queen Pinball Machine,,['buddy-comedy']
Soldiers Three,1951.0,"['buddy-comedy', 'desert-adventure', 'satire-comedy']"
When in Rome,1952.0,['buddy-comedy']
The House Across the Street,1949.0,"['buddy-comedy', 'workplace-drama']"
Girl Missing,1933.0,['buddy-comedy']
By the Grape of God,,['buddy-comedy']
The Photographers,,"['buddy-comedy', 'screwball-comedy']"
Everything's Ducky,1961.0,"['buddy-comedy', 'slapstick-comedy']"
Grand Slam,1933.0,"['buddy-comedy', 'satire-comedy']"
The Rules of the Game,,"['buddy-comedy', 'teen-comedy']"
Love in the Rough,1930.0,"['buddy-comedy', 'pop-musical', 'slapstick-comedy']"
Get a Job,2011.0,['buddy-comedy']
Dream-Spy,,['buddy-comedy']
Master Minds,1949.0,['buddy-comedy']
Brother Rat and a Baby,1940.0,"['buddy-comedy', 'farce-comedy']"
Olde Boys,,['buddy-comedy']
Sequoia,1934.0,"['buddy-comedy', 'mountain-adventure', 'survival-adventure']"
Jazz Heaven,1929.0,"['buddy-comedy', 'showbiz-drama']"
Untitled Buddy Treasure Hunt Project,,['buddy-comedy']
Shore Leave,1925.0,['buddy-comedy']
The Way,,['buddy-comedy']
Polis Evo 4,,"['buddy-comedy', 'buddy-cop-comedy']"
I Want My Baby Back,,['buddy-comedy']
Cacha de Oro,,['buddy-comedy']
Two Birds One Stone,,['buddy-comedy']
False Roomers,,"['buddy-comedy', 'slapstick-comedy']"
Novel Romance,,"['buddy-comedy', 'slapstick-comedy']"
The Nice Guys,2016.0,"['buddy-cop-comedy', 'bumbling-detective-mystery', 'slapstick-comedy']"
The Other Guys,2010.0,"['buddy-cop-comedy', 'police-procedural-crime']"
Bad Boys,1995.0,"['buddy-cop-comedy', 'cop-drama']"
Rush Hour,1998.0,"['buddy-cop-comedy', 'martial-arts-action']"
Beverly Hills Cop,1984.0,"['buddy-cop-comedy', 'police-procedural-crime']"
21 Jump Street,2012.0,"['buddy-cop-comedy', 'police-procedural-crime']"
Men in Black³,2012.0,"['buddy-cop-comedy', 'time-travel-sci-fi']"
Loose Cannons,1990.0,['buddy-cop-comedy']
The Hitman's Bodyguard,2017.0,['buddy-cop-comedy']
Central Intelligence,2016.0,['buddy-cop-comedy']
Bad Boys for Life,2020.0,"['buddy-cop-comedy', 'cop-drama']"
Rush Hour 2,2001.0,"['buddy-cop-comedy', 'martial-arts-action']"
The Last Boy Scout,1991.0,['buddy-cop-comedy']
48 Hrs.,1982.0,"['buddy-cop-comedy', 'cop-drama']"
Cop Out,2010.0,['buddy-cop-comedy']
Bad Boys II,2003.0,"['buddy-cop-comedy', 'cop-drama']"
22 Jump Street,2014.0,['buddy-cop-comedy']
Spenser Confidential,2020.0,['buddy-cop-comedy']
Starsky & Hutch,2004.0,"['buddy-cop-comedy', 'parody-comedy']"
The Heat,2013.0,['buddy-cop-comedy']
Osmosis Jones,2001.0,"['buddy-cop-comedy', 'dark-comedy', 'high-concept-comedy', 'police-procedural-crime', 'slapstick-comedy']"
The Spy Who Dumped Me,2018.0,"['buddy-cop-comedy', 'globetrotting-adventure', 'high-concept-comedy', 'spy-thriller']"
Beverly Hills Cop II,1987.0,['buddy-cop-comedy']
Tango & Cash,1989.0,['buddy-cop-comedy']
The Brothers Grimsby,2016.0,"['buddy-cop-comedy', 'dark-comedy', 'farce-comedy', 'satire-comedy', 'slapstick-comedy']"
2 Guns,2013.0,['buddy-cop-comedy']
The Guard,2011.0,['buddy-cop-comedy']
Red Heat,1988.0,['buddy-cop-comedy']
CHIPS,2017.0,"['buddy-cop-comedy', 'police-procedural-crime']"
Beverly Hills Cop III,1994.0,['buddy-cop-comedy']
Running Scared,1986.0,"['buddy-cop-comedy', 'dark-comedy']"
Shaft,2019.0,"['buddy-cop-comedy', 'dark-comedy']"
Another 48 Hrs.,1990.0,['buddy-cop-comedy']
Miss Congeniality 2: Armed & Fabulous,2005.0,"['buddy-cop-comedy', 'farce-comedy']"
Taxi,2004.0,"['buddy-cop-comedy', 'slapstick-comedy']"
Bulletproof,1996.0,['buddy-cop-comedy']
R.I.P.D.,2013.0,['buddy-cop-comedy']
National Security,2003.0,"['buddy-cop-comedy', 'slapstick-comedy']"
Let's Be Cops,2014.0,['buddy-cop-comedy']
The Happytime Murders,2018.0,"['buddy-cop-comedy', 'dark-comedy']"
The Hard Way,1991.0,['buddy-cop-comedy']
Turner & Hooch,1989.0,['buddy-cop-comedy']
Ride Along,2014.0,['buddy-cop-comedy']
Loaded Weapon 1,1993.0,"['buddy-cop-comedy', 'parody-comedy', 'slapstick-comedy']"
Dragnet,1987.0,"['buddy-cop-comedy', 'parody-comedy']"
Stuber,2019.0,['buddy-cop-comedy']
Stakeout,1987.0,['buddy-cop-comedy']
Hollywood Homicide,2003.0,['buddy-cop-comedy']
Double Team,1997.0,['buddy-cop-comedy']
Money Train,1995.0,"['buddy-cop-comedy', 'caper-crime']"
Ride Along 2,2016.0,['buddy-cop-comedy']
War on Everyone,2016.0,"['buddy-cop-comedy', 'dark-comedy']"
K-9,1989.0,"['buddy-cop-comedy', 'slapstick-comedy']"
I Spy,2002.0,"['buddy-cop-comedy', 'parody-comedy', 'spy-thriller']"
Showtime,2002.0,['buddy-cop-comedy']
City Heat,1984.0,['buddy-cop-comedy']
The Glimmer Man,1996.0,"['buddy-cop-comedy', 'kung-fu-action', 'serial-killer-crime']"
Downtown,1990.0,"['buddy-cop-comedy', 'slapstick-comedy']"
Short Time,1990.0,"['buddy-cop-comedy', 'slapstick-comedy']"
The Takedown,2022.0,"['buddy-cop-comedy', 'cop-drama']"
Top Dog,1995.0,"['buddy-cop-comedy', 'slapstick-comedy']"
Collision Course,1989.0,['buddy-cop-comedy']
"Car 54, Where Are You?",1994.0,['buddy-cop-comedy']
Cabras da Peste,2021.0,['buddy-cop-comedy']
Mundo depravados,1967.0,"['buddy-cop-comedy', 'serial-killer-crime']"
Inspector Gadget,1999.0,"['bumbling-detective-mystery', 'police-procedural-crime', 'slapstick-comedy', 'superhero-action', 'urban-adventure']"
Scooby-Doo,2002.0,"['bumbling-detective-mystery', 'slapstick-comedy', 'supernatural-fantasy', 'whodunnit-mystery']"
Ace Ventura: Pet Detective,1994.0,"['bumbling-detective-mystery', 'farce-comedy', 'slapstick-comedy']"
Kiss Kiss Bang Bang,2005.0,"['bumbling-detective-mystery', 'dark-comedy', 'satire-comedy']"
Inherent Vice,2014.0,"['bumbling-detective-mystery', 'dark-comedy', 'period-drama', 'satire-comedy', 'whodunnit-mystery']"
See How They Run,2022.0,"['bumbling-detective-mystery', 'cozy-mystery', 'whodunnit-mystery']"
Murder Mystery,2019.0,"['bumbling-detective-mystery', 'cozy-mystery']"
The Pink Panther Strikes Again,1976.0,"['bumbling-detective-mystery', 'farce-comedy', 'slapstick-comedy']"
The Pink Panther,2006.0,"['bumbling-detective-mystery', 'caper-crime', 'farce-comedy', 'parody-comedy', 'slapstick-comedy']"
Murder by Death,1976.0,"['bumbling-detective-mystery', 'cozy-mystery', 'farce-comedy', 'parody-comedy', 'whodunnit-mystery']"
Date Night,2010.0,"['bumbling-detective-mystery', 'feel-good-romance']"
Foul Play,1978.0,"['bumbling-detective-mystery', 'farce-comedy', 'parody-comedy']"
"Confess, Fletch",2022.0,"['bumbling-detective-mystery', 'cozy-mystery']"
Fletch,1985.0,['bumbling-detective-mystery']
Who's Harry Crumb?,1989.0,"['bumbling-detective-mystery', 'slapstick-comedy']"
The Kid Detective,2020.0,"['bumbling-detective-mystery', 'coming-of-age-drama', 'dark-comedy', 'quirky-comedy', 'suspense-mystery']"
A Shot in the Dark,1964.0,"['bumbling-detective-mystery', 'farce-comedy', 'whodunnit-mystery']"
Revenge of the Pink Panther,1978.0,"['bumbling-detective-mystery', 'farce-comedy', 'slapstick-comedy']"
That Darn Cat,1997.0,"['bumbling-detective-mystery', 'slapstick-comedy']"
Fletch Lives,1989.0,"['bumbling-detective-mystery', 'satire-comedy', 'slapstick-comedy']"
The Pink Panther 2,2009.0,['bumbling-detective-mystery']
Sherlock Jr.,1924.0,"['bumbling-detective-mystery', 'farce-comedy', 'feel-good-romance', 'slapstick-comedy']"
The Cheap Detective,1978.0,"['bumbling-detective-mystery', 'parody-comedy']"
The Private Eyes,1980.0,"['bumbling-detective-mystery', 'parody-comedy']"
Once Upon a Crime...,1992.0,"['bumbling-detective-mystery', 'whodunnit-mystery']"
Inspector Clouseau,1968.0,"['bumbling-detective-mystery', 'caper-crime', 'farce-comedy', 'slapstick-comedy']"
Borderless Fog,2024.0,"['bumbling-detective-mystery', 'suspense-mystery']"
Mystery Team,2009.0,"['bumbling-detective-mystery', 'coming-of-age-drama', 'parody-comedy']"
It's a Wonderful World,1939.0,"['bumbling-detective-mystery', 'satire-comedy', 'screwball-comedy']"
Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,1953.0,"['bumbling-detective-mystery', 'parody-comedy', 'slapstick-comedy']"
The Falcon and the Co-eds,1943.0,"['bumbling-detective-mystery', 'film-noir', 'psychological-drama', 'teen-drama', 'whodunnit-mystery']"
Penguin Pool Murder,1932.0,"['bumbling-detective-mystery', 'screwball-comedy', 'whodunnit-mystery']"
24 Hours with Gaspar,2023.0,"['bumbling-detective-mystery', 'car-action', 'dystopian-sci-fi', 'martial-arts-action', 'steampunk-sci-fi']"
Torchy Blane in Panama,1938.0,['bumbling-detective-mystery']
Grand Central Murder,1942.0,"['bumbling-detective-mystery', 'film-noir', 'suspense-mystery', 'whodunnit-mystery']"
Private Eyes,1953.0,['bumbling-detective-mystery']
The Gentlemen,2019.0,"['caper-crime', 'dark-comedy', 'drug-crime', 'gangster-crime']"
Bonnie and Clyde,1967.0,"['caper-crime', 'tragedy-drama', 'true-crime']"
The Usual Suspects,1995.0,"['caper-crime', 'gangster-crime', 'heist-crime', 'psychological-drama', 'psychological-thriller', 'suspense-mystery', 'whodunnit-mystery']"
Heartbreakers,2001.0,"['caper-crime', 'romantic-comedy']"
The Grand Budapest Hotel,2014.0,"['caper-crime', 'quirky-comedy']"
City of God,2002.0,"['caper-crime', 'coming-of-age-drama', 'gangster-crime']"
Snatch,2000.0,"['caper-crime', 'dark-comedy', 'gangster-crime']"
Baby Driver,2017.0,"['caper-crime', 'car-action']"
Ocean's Eleven,2001.0,"['caper-crime', 'heist-crime']"
Heist,2001.0,"['caper-crime', 'dark-comedy']"
Catch Me If You Can,2002.0,"['caper-crime', 'coming-of-age-drama', 'docudrama', 'globetrotting-adventure', 'period-drama', 'true-crime']"
Jackie Brown,1997.0,"['caper-crime', 'drug-crime']"
"O Brother, Where Art Thou?",2000.0,"['caper-crime', 'dark-comedy', 'epic-adventure', 'period-drama', 'quest-adventure', 'road-trip-adventure', 'satire-comedy']"
Ocean's Eight,2018.0,"['caper-crime', 'heist-crime']"
Spring Breakers,2012.0,"['caper-crime', 'coming-of-age-drama', 'dark-comedy', 'drug-crime', 'erotic-thriller', 'teen-drama']"
Now You See Me,2013.0,"['caper-crime', 'heist-crime']"
Fantastic Mr. Fox,2009.0,"['caper-crime', 'quirky-comedy']"
The Sting,1973.0,['caper-crime']
Focus,2015.0,['caper-crime']
A Fish Called Wanda,1988.0,"['caper-crime', 'dark-comedy', 'screwball-comedy', 'slapstick-comedy']"
It's a Mad Mad Mad Mad World,1963.0,"['caper-crime', 'epic-drama', 'globetrotting-adventure', 'road-trip-adventure', 'screwball-comedy', 'slapstick-comedy']"
Logan Lucky,2017.0,"['caper-crime', 'heist-crime']"
The Italian Job,2003.0,"['caper-crime', 'car-action']"
The Bad Guys,2022.0,"['caper-crime', 'cg-animation', 'slapstick-comedy']"
Seven Psychopaths,2012.0,"['caper-crime', 'dark-comedy', 'gangster-crime', 'serial-killer-crime']"
Now You See Me 2,2016.0,['caper-crime']
Hitman's Wife's Bodyguard,2021.0,"['caper-crime', 'dark-comedy']"
Army of Thieves,2021.0,['caper-crime']
Ocean's Twelve,2004.0,['caper-crime']
Paper Moon,1973.0,"['caper-crime', 'road-trip-adventure']"
The Thomas Crown Affair,1999.0,['caper-crime']
The Bank Job,2008.0,"['caper-crime', 'heist-crime', 'period-drama', 'true-crime']"
Ocean's Thirteen,2007.0,['caper-crime']
Going in Style,2017.0,['caper-crime']
Pain & Gain,2013.0,"['caper-crime', 'true-crime']"
Raising Arizona,1987.0,"['caper-crime', 'slapstick-comedy']"
The Player,1992.0,"['caper-crime', 'dark-comedy', 'farce-comedy', 'satire-comedy', 'showbiz-drama', 'workplace-drama']"
The Pink Panther,1963.0,"['caper-crime', 'farce-comedy', 'slapstick-comedy']"
The Italian Job,1969.0,"['caper-crime', 'car-action']"
Shoplifters,2018.0,"['caper-crime', 'psychological-drama']"
The Good Liar,2019.0,['caper-crime']
The Getaway,1972.0,['caper-crime']
The Ladykillers,1955.0,"['caper-crime', 'dark-comedy']"
Ocean's Eleven,1960.0,['caper-crime']
Out of Sight,1998.0,['caper-crime']
Masterminds,2015.0,"['caper-crime', 'dark-comedy', 'true-crime']"
Sneakers,1992.0,"['caper-crime', 'dark-comedy']"
Bottle Rocket,1996.0,"['caper-crime', 'dark-comedy']"
The Thomas Crown Affair,1968.0,['caper-crime']
The Bling Ring,2013.0,"['caper-crime', 'true-crime']"
Matchstick Men,2003.0,"['caper-crime', 'dark-comedy']"
Bandits,2001.0,"['caper-crime', 'dark-comedy']"
Entrapment,1999.0,['caper-crime']
Headhunters,2011.0,"['caper-crime', 'dark-comedy']"
The Taking of Pelham One Two Three,1974.0,"['caper-crime', 'dark-comedy']"
Duplicity,2009.0,['caper-crime']
The Killing,1956.0,"['caper-crime', 'film-noir', 'heist-crime', 'psychological-drama', 'psychological-thriller', 'tragedy-drama']"
Tower Heist,2011.0,['caper-crime']
Overdrive,2017.0,['caper-crime']
Breathless,1960.0,['caper-crime']
The Ladykillers,2004.0,"['caper-crime', 'dark-comedy']"
Thunderbolt and Lightfoot,1974.0,"['caper-crime', 'dark-comedy', 'heist-crime']"
Blue Streak,1999.0,"['caper-crime', 'slapstick-comedy']"
Man Bites Dog,1992.0,"['caper-crime', 'dark-comedy', 'mockumentary-comedy', 'satire-comedy', 'serial-killer-crime', 'tragedy-drama']"
Muppets Most Wanted,2014.0,"['caper-crime', 'globetrotting-adventure', 'quirky-comedy', 'satire-comedy', 'urban-adventure']"
Topkapi,1964.0,['caper-crime']
The Split,1968.0,['caper-crime']
Mad Money,2008.0,"['caper-crime', 'satire-comedy']"
Mortdecai,2015.0,"['caper-crime', 'slapstick-comedy']"
The Old Man & the Gun,2018.0,"['caper-crime', 'heist-crime', 'true-crime']"
Quick Change,1990.0,['caper-crime']
Two Hands,1999.0,"['caper-crime', 'dark-comedy']"
The Brothers Bloom,2008.0,['caper-crime']
Gambit,2012.0,"['caper-crime', 'dark-comedy']"
Confidence,2003.0,['caper-crime']
The Great Muppet Caper,1981.0,"['caper-crime', 'farce-comedy', 'quirky-comedy']"
How to Steal a Million,1966.0,['caper-crime']
White Heat,1949.0,"['caper-crime', 'film-noir']"
Exit Through the Gift Shop,2010.0,"['caper-crime', 'satire-comedy', 'true-crime']"
Blood for Dust,2023.0,"['caper-crime', 'drug-crime']"
Catch That Kid,2004.0,"['caper-crime', 'teen-adventure']"
The Art of the Steal,2013.0,['caper-crime']
Henry's Crime,2010.0,"['caper-crime', 'heist-crime']"
Locked Down,2021.0,['caper-crime']
The Maiden Heist,2009.0,['caper-crime']
First Sunday,2008.0,"['caper-crime', 'dark-comedy', 'slapstick-comedy']"
Family Business,1989.0,['caper-crime']
Dead Heat on a Merry-Go-Round,1966.0,['caper-crime']
Collide,2016.0,"['caper-crime', 'car-action', 'dark-comedy']"
