from_tconst,from_title,from_year,from_runtimeMinutes,from_averageRating,from_numVotes,from_budget,from_revenue,from_budget_formatted,from_revenue_formatted,budget_2023,revenue_2023,budget_2023_formatted,revenue_2023_formatted
tt0068473,Deliverance,1972,109,7.6,123802,2000000,46122355,"2,000,000","46,122,355",14579043.062200958,336209899.8375598,"14,579,043","336,209,899"
tt0068555,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,1972,88,6.7,42673,2000000,18016290,"2,000,000","18,016,290",14579043.062200958,131330133.86555025,"14,579,043","131,330,133"
tt0068611,Frenzy,1972,116,7.4,51120,2000000,12600000,"2,000,000","12,600,000",14579043.062200958,91847971.29186603,"14,579,043","91,847,971"
tt0068638,The Getaway,1972,123,7.3,36969,3352254,36734619,"3,352,254","36,734,619",24436327.710717704,267777796.13727275,"24,436,327","267,777,796"
tt0068646,The Godfather,1972,175,9.2,2107137,6000000,245066411,"6,000,000","245,066,411",43737129.186602876,1786416879.5340192,"43,737,129","1,786,416,879"
tt0068699,High Plains Drifter,1973,105,7.4,66998,5500000,15700000,"5,500,000","15,700,000",37744617.11711712,107743725.22522523,"37,744,617","107,743,725"
tt0068718,The Hot Rock,1972,101,6.8,7171,4895000,3500000,"4,895,000","3,500,000",35682207.89473684,25513325.358851675,"35,682,207","25,513,325"
tt0068828,Lady Sings the Blues,1972,144,7.0,5044,2000000,19726490,"2,000,000","19,726,490",14579043.062200958,143796673.58803827,"14,579,043","143,796,673"
tt0068909,Man of La Mancha,1972,132,6.5,4960,12000000,11500000,"12,000,000","11,500,000",87474258.37320575,83829497.60765551,"87,474,258","83,829,497"
tt0069089,Pink Flamingos,1972,93,6.0,29343,12000,6000000,"12,000","6,000,000",87474.25837320575,43737129.186602876,"87,474","43,737,129"
tt0069113,The Poseidon Adventure,1972,117,7.1,51395,5000000,84563118,"5,000,000","84,563,118",36447607.655502394,616424669.3979905,"36,447,607","616,424,669"
tt0069332,Super Fly,1972,91,6.4,8919,500000,30000000,"500,000","30,000,000",3644760.7655502395,218685645.93301436,"3,644,760","218,685,645"
tt0069449,Up the Sandbox,1972,97,5.7,1725,2926000,3500000,"2,926,000","3,500,000",21329140.0,25513325.358851675,"21,329,140","25,513,325"
tt0069495,"What's Up, Doc?",1972,94,7.7,28524,4000000,66000000,"4,000,000","66,000,000",29158086.124401916,481108421.0526316,"29,158,086","481,108,421"
tt0069704,American Graffiti,1973,110,7.4,101572,777000,140000000,"777,000","140,000,000",5332285.0,960772072.0720721,"5,332,285","960,772,072"
tt0069768,Battle for the Planet of the Apes,1973,93,5.4,36465,1700000,8844595,"1,700,000","8,844,595",11666518.018018018,60697427.605630636,"11,666,518","60,697,427"
